Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish

foodCropWheat,items,Food,New,Raw Wheat,,,,,
foodCropWheatDesc,items,Food,New,"Raw wheat grain serves as an important staple food. It can be crafted into flour, another important crafting ingredient.",,,,,

foodCropTomato,items,Food,New,Tomato,,,,,
foodCropTomatoDesc,items,Food,New,"The edible berry of the plant Solanum lycopersicum, commonly known as a tomato.",,,,,

foodCropOnion,items,Food,New,Onion,,,,,
foodCropOnionDesc,items,Food,New,"A vegetable that is a widely cultivated species of the genus Allium.",,,,,

foodCropCabbage,items,Food,New,Cabbage,,,,,
foodCropCabbageDesc,items,Food,New," several cultivars of Brassica oleracea, is a leafy green biennial plant.",,,,,

foodCropApple,items,Food,New,An Apple,,,,,
foodCropAppleDesc,items,Food,New,"Apples are fruits harvested from trees and used in creation of various dishes and cider.",,,,,

foodFlour,items,Food,New,Bag of Flour,,,,,
foodFlourDesc,items,Food,New,"Flour is an essential cooking ingredient made from wheat.",,,,,

foodButter,items,Food,New,Stick of Butter,,,,,
foodButterDesc,items,Food,New,"Fatty dairy product made from whole milk.",,,,,

drinkJarMilk,items,Food,New,Bottle of Milk,,,,,
drinkJarMilkDesc,items,Food,New,"Milk is a rare commodity in the wasteland. This bottle of whole milk can be used to make butter,which is another important ingredient. ",,,,,

foodBagRice,items,Food,New,Bag of Rice,,,,,
foodBagRiceDesc,items,Food,New,"Excellent foodstuff for raw calories.",,,,,
foodCanTomato,items,Food,New,Italian Canned Tomatoes,,,,,
foodCanTomatoDesc,items,Food,New,"A can of whole tomatoes that can serve as the bedrock of many sauces",,,,,
foodCanSalsa,items,Food,New,Spicy Jalapeno Salsa,,,,,
foodCanSalsaDesc,items,Food,New,"Spicy and tangy dressing for nearly any food.",,,,,

foodGravy,items,Food,New,Rich Gravy,,,,,
foodGravyDesc,items,Food,New,"Meat gravy made from meat. A great topping for many dishes.",,,,,

foodRichBroth,items,Food,New,Rich Broth,,,,,
foodRichBrothDesc,items,Food,New,"An intense bone broth full of vitamins and nutrients.",,,,,

foodCheese,items,Food,New,Cheese,,,,,
foodCheeseDesc,items,Food,New,"A homemade dairy product useful in several recipes.",,,,,

foodPorridge,items,Food,New,Porridge,,,,,
foodPorridgeDesc,items,Food,New,"A carbohydrate rich porridge made from wheat.",,,,,
foodPorridgeSchematic,items,Food,New,"Porridge Recipe",,,,,
foodPorridgeSchematicDesc,items,Food,New,"Boil some cracked wheat in water to create porridge suitable for carboloading athletes.",,,,,

foodMashedPotato,items,Food,New,Plate of Mashed Potatoes,,,,,
foodMashedPotatoDesc,items,Food,New,"Creamy,buttery mashed potatoes full of fat and carbs, but mostly fat.",,,,,
foodMashedPotatoSchematic,items,Food,New,"Mashed Potatoes Recipe",,,,,
foodMashedPotatoSchematicDesc,items,Food,New,"Cut potatoes into cold water. Raise to a boil and cook until soft.\nMash and mix with butter until creamy. \nA basic but useful recipe",,,,,

foodAppleJam,items,Food,New,Jar of Apple Jam,,,,,
foodAppleJamDesc,items,Food,New,"Sugary fruit preserves excellent for hungry survivors.",,,,,
foodJamSchematic,items,Food,New,"Jam Instructions",,,,,
foodJamSchematicDesc,items,Food,New,"Cook fruit in a jar and mash.\nJams when properly sealed have a long shelf life.",,,,,

foodBlueberryJam,items,Food,New,Jar of Blueberry Jam,,,,,
foodBlueberryJamDesc,items,Food,New,"Sugary fruit preserves excellent for hungry survivors.",,,,,

foodBiscuit,items,Food,New,Buttermilk Biscuit,,,,,
foodBiscuitDesc,items,Food,New,"Homemade biscuits that bring back memories of the pre-apocalypse.",,,,,
foodBreadsSchematic,items,Food,New,"Intro to Breads",,,,,
foodBreadsSchematicDesc,items,Food,New,"Learn the basics of baking.\nAll you need is flour and water.",,,,,

foodBread,items,Food,New,Loaf of Bread,,,,,
foodBreadDesc,items,Food,New,"Favorite hobby of pandemic first-time cooks with too much time.",,,,,

foodHoneyham,items,Food,New,Honey Ham,,,,,
foodHoneyhamDesc,items,Food,New,"Well smoked and cured ham with a tinge of honey sweetness.",,,,,
foodHoneyhamSchematic,items,Food,New,"Ham Curing Guide",,,,,
foodHoneyhamSchematicDesc,items,Food,New,"Cut,smoke,baste, and cook. \nDelicious ham in four easy steps.",,,,,

